iter	Logloss
0	0.3776642423
1	0.2758258096
2	0.2326991906
3	0.2096960406
4	0.1981550274
5	0.1889234795
6	0.1833893998
7	0.1795185849
8	0.1742141535
9	0.171964402
10	0.1684688912
11	0.1669129294
12	0.1650557073
13	0.1638057663
14	0.1627573966
15	0.1616174863
16	0.1609031477
17	0.1596950081
18	0.1582135283
19	0.1576254314
20	0.1571056747
21	0.1566857485
22	0.156014852
23	0.1555341856
24	0.1551200219
25	0.1546088145
26	0.1543637707
27	0.1540172819
28	0.1537370998
29	0.1534299415
30	0.15322902
31	0.1528063462
32	0.1526061526
33	0.1524272697
34	0.152272007
35	0.1521691253
36	0.1520057358
37	0.1518131285
38	0.1516989203
39	0.1514105776
40	0.1511693451
41	0.1510098711
42	0.1508859103
43	0.1507987008
44	0.1506883846
45	0.1505733114
46	0.1504746757
47	0.1504177572
48	0.1503113817
49	0.1502398955
50	0.150103031
51	0.1500154388
52	0.1498395109
53	0.1496126979
54	0.1495262397
55	0.1494333916
56	0.1493608938
57	0.1492945958
58	0.1491479128
59	0.1490753916
60	0.1490097165
61	0.1489041487
62	0.1488487156
63	0.1487876318
64	0.14873451
65	0.1486474254
66	0.1486069704
67	0.1485421699
68	0.1485101219
69	0.1484849027
70	0.1483921084
71	0.1483203177
72	0.1482516599
73	0.1481650698
74	0.1480703069
75	0.1480116759
76	0.1479348835
77	0.1478859773
78	0.147836751
79	0.1477112268
80	0.1476431719
81	0.1475868356
82	0.1475255038
83	0.1474793383
84	0.1474478316
85	0.1473642694
86	0.1473027146
87	0.1472570801
88	0.1472192183
89	0.1471577398
90	0.1470818524
91	0.1470327978
92	0.1470235102
93	0.1469739707
94	0.1469251078
95	0.1468794369
96	0.1468494832
97	0.1467687251
98	0.1467341272
99	0.1466659648
100	0.146583612
101	0.1465415442
102	0.1465076369
103	0.1464307673
104	0.1463931259
105	0.1463644615
106	0.1463057697
107	0.146282795
108	0.1462247834
109	0.1462015406
110	0.1461556597
111	0.1461076957
112	0.1460576156
113	0.1460189071
114	0.1459691133
115	0.1458896505
116	0.1458544046
117	0.1458063798
118	0.145792612
119	0.1457561037
120	0.145713773
121	0.1456783153
122	0.1456257401
123	0.1455801697
124	0.1455328174
125	0.1454826913
126	0.1454306792
127	0.1453745962
128	0.1453365774
129	0.1452800781
130	0.1452258943
131	0.1452119017
132	0.1451741892
133	0.1451254817
134	0.1450849469
135	0.145060781
136	0.1449887465
137	0.1449358294
138	0.1448719511
139	0.1448549229
140	0.1447984981
141	0.1447776255
142	0.1447285849
143	0.144697355
144	0.1446148009
145	0.1445813613
146	0.1445336931
147	0.1444875624
148	0.1444494915
149	0.1444027257
150	0.1443545413
151	0.1443218114
152	0.1442850601
153	0.1442517463
154	0.1442119021
155	0.1441766258
156	0.1441406849
157	0.1441038503
158	0.1440849151
159	0.1440349591
160	0.1440112834
161	0.1439746701
162	0.1439432763
163	0.1439209661
164	0.1438862381
165	0.1438560129
166	0.1438351707
167	0.1438028624
168	0.1437462485
169	0.1437344631
170	0.1436855257
171	0.1436502502
172	0.1436173025
173	0.1435830352
174	0.1435430513
175	0.1435376532
176	0.1435007579
177	0.1434514708
178	0.1434077659
179	0.1433586601
180	0.1433071424
181	0.1432684226
182	0.1432238101
183	0.1431788905
184	0.1431178363
185	0.1430772086
186	0.1430347382
187	0.1429993092
188	0.1429703776
189	0.1429220987
190	0.1428670048
191	0.1428221789
192	0.1427834417
193	0.1427674294
194	0.142726938
195	0.1427026419
196	0.1426741875
197	0.1426454997
198	0.1426145665
199	0.1425867445
200	0.1425488151
201	0.1425148011
202	0.1424803855
203	0.1424501863
204	0.1424187569
205	0.1423782021
206	0.1423672375
207	0.1423370296
208	0.1423016804
209	0.1422671337
210	0.1422235164
211	0.1421831464
212	0.1421516615
213	0.14210412
214	0.142080603
215	0.1420443862
216	0.1420129195
217	0.1419729712
218	0.1419322828
219	0.141913843
220	0.1418908587
221	0.1418513659
222	0.1418079854
223	0.1417748555
224	0.1417588319
225	0.141703293
226	0.141676454
227	0.1416331923
228	0.1416120873
229	0.1415881643
230	0.1415666983
231	0.1415561006
232	0.1415238886
233	0.1414961309
234	0.1414653591
235	0.1414323064
236	0.1414175001
237	0.1413921698
238	0.141344028
239	0.141308245
240	0.1412931914
241	0.141254154
242	0.1412377487
243	0.141216124
244	0.141191578
245	0.1411429139
246	0.1411061765
247	0.1410641538
248	0.1410345672
249	0.140997717
250	0.14096447
251	0.1409302617
252	0.1408878641
253	0.1408680032
254	0.1408244926
255	0.1408019707
256	0.140755872
257	0.1407373524
258	0.1407267582
259	0.1407021863
260	0.1406724183
261	0.1406418044
262	0.1406090736
263	0.1405641496
264	0.1405317372
265	0.1405096891
266	0.1404632304
267	0.1404403424
268	0.1404119097
269	0.1403758091
270	0.1403515998
271	0.1403173481
272	0.1402898428
273	0.1402567953
274	0.1402286853
275	0.1402006369
276	0.1401733312
277	0.1401397432
278	0.1401185167
279	0.1400736283
280	0.1400390052
281	0.1400122504
282	0.1399801451
283	0.1399494514
284	0.1399254547
285	0.1398935212
286	0.1398682309
287	0.1398426846
288	0.1398140098
289	0.1398092883
290	0.1397865756
291	0.1397540799
292	0.139724089
293	0.1396945709
294	0.1396649504
295	0.1396329319
296	0.1396114841
297	0.1395801007
298	0.1395589323
299	0.1395255942
300	0.1395064065
301	0.1394675817
302	0.139455903
303	0.1394232972
304	0.1393954361
305	0.1393615445
306	0.1393353397
307	0.1393104676
308	0.1392901433
309	0.1392598002
310	0.1392177627
311	0.1391933616
312	0.139149707
313	0.1391167445
314	0.1390890162
315	0.1390579608
316	0.1390244205
317	0.1389927898
318	0.1389485842
319	0.1389213721
320	0.1389053442
321	0.1388692706
322	0.138852441
323	0.138824036
324	0.1387928608
325	0.1387579341
326	0.138733298
327	0.1387012309
328	0.1386925697
329	0.1386711167
330	0.1386465691
331	0.1386061253
332	0.1385746768
333	0.138540688
334	0.1385069846
335	0.1384780817
336	0.1384567016
337	0.1384256704
338	0.1384001388
339	0.1383792221
340	0.1383490116
341	0.1383034144
342	0.1382771897
343	0.1382477627
344	0.1382252113
345	0.1382041887
346	0.1381658723
347	0.1381487373
348	0.1381227547
349	0.1381162009
350	0.1380953674
351	0.1380699937
352	0.1380470936
353	0.1380268353
354	0.1379935632
355	0.1379638611
356	0.1379415987
357	0.137906803
358	0.1378811153
359	0.1378506906
360	0.1378348683
361	0.1378120896
362	0.1377834877
363	0.1377509157
364	0.1377224534
365	0.13770082
366	0.1376760624
367	0.137670174
368	0.1376415183
369	0.1376218309
370	0.1376042196
371	0.1375802662
372	0.1375571683
373	0.1375360407
374	0.13749654
375	0.1374473302
376	0.1374256074
377	0.1373990174
378	0.1373564524
379	0.1373305956
380	0.1373003877
381	0.1372647001
382	0.1372360375
383	0.1372097867
384	0.1371733921
385	0.1371527798
386	0.1371107961
387	0.1370880582
388	0.1370606874
389	0.1370338354
390	0.1370067336
391	0.1370057627
392	0.1369587166
393	0.1369215724
394	0.1369045919
