iter	Passed	Remaining
0	46	46602
1	85	42825
2	132	44147
3	188	46826
4	239	47564
5	290	48132
6	370	52563
7	418	51921
8	472	52078
9	524	51908
10	581	52241
11	641	52829
12	698	53023
13	757	53327
14	805	52885
15	849	52269
16	895	51765
17	941	51346
18	995	51384
19	1040	50970
20	1090	50821
21	1128	50180
22	1165	49488
23	1206	49044
24	1249	48731
25	1302	48810
26	1353	48766
27	1407	48869
28	1455	48720
29	1501	48543
30	1557	48699
31	1602	48461
32	1645	48226
33	1691	48063
34	1734	47824
35	1782	47740
36	1837	47836
37	1886	47759
38	1929	47550
39	2007	48179
40	2065	48302
41	2110	48148
42	2169	48291
43	2208	47978
44	2254	47835
45	2297	47654
46	2339	47443
47	2390	47418
48	2443	47429
49	2490	47317
50	2539	47247
51	2600	47408
52	2683	47943
53	2736	47945
54	2782	47808
55	2816	47476
56	2872	47520
57	2923	47475
58	2990	47688
59	3042	47670
60	3087	47521
61	3133	47407
62	3184	47357
63	3227	47202
64	3275	47117
65	3318	46956
66	3374	46993
67	3427	46971
68	3474	46887
69	3520	46777
70	3568	46686
71	3616	46613
72	3667	46573
73	3746	46886
74	3793	46789
75	3849	46798
76	3912	46904
77	3957	46783
78	4005	46701
79	4043	46501
80	4098	46499
81	4151	46478
82	4201	46423
83	4243	46276
84	4297	46265
85	4348	46216
86	4391	46087
87	4436	45974
88	4516	46229
89	4557	46081
90	4602	45972
91	4656	45960
92	4695	45797
93	4739	45680
94	4778	45521
95	4823	45422
96	4867	45313
97	4912	45211
98	4952	45069
99	5009	45085
100	5052	44970
101	5089	44810
102	5149	44845
103	5199	44793
104	5244	44707
105	5296	44669
106	5338	44553
107	5377	44412
108	5449	44545
109	5491	44433
110	5542	44387
111	5617	44542
112	5657	44408
113	5715	44421
114	5770	44404
115	5817	44336
116	5872	44323
117	5920	44249
118	5970	44203
119	6016	44120
120	6086	44218
121	6128	44107
122	6179	44058
123	6223	43964
124	6270	43894
125	6311	43782
126	6363	43740
127	6420	43737
128	6461	43626
129	6520	43635
130	6597	43767
131	6650	43731
132	6685	43580
133	6722	43447
134	6761	43325
135	6814	43291
136	6860	43218
137	6911	43171
138	6958	43105
139	7018	43113
140	7073	43096
141	7110	42961
142	7167	42953
143	7213	42880
144	7269	42862
145	7318	42806
146	7369	42762
147	7461	42951
148	7502	42848
149	7550	42783
150	7606	42765
151	7644	42646
152	7690	42573
153	7736	42499
154	7781	42421
155	7828	42353
156	7874	42280
157	7921	42213
158	7968	42145
159	8015	42079
160	8058	41995
161	8110	41955
162	8156	41881
163	8209	41846
164	8252	41764
165	8294	41673
166	8340	41600
167	8395	41578
168	8447	41539
169	8499	41495
170	8549	41449
171	8641	41599
172	8702	41603
173	8747	41527
174	8797	41471
175	8837	41374
176	8874	41262
177	8926	41222
178	8993	41249
179	9040	41185
180	9091	41136
181	9136	41064
182	9185	41008
183	9233	40947
184	9279	40879
185	9319	40786
186	9374	40756
187	9430	40729
188	9474	40654
189	9521	40590
190	9557	40481
191	9599	40396
192	9640	40308
193	9686	40243
194	9731	40174
195	9768	40071
196	9812	39995
197	9854	39914
198	9898	39840
199	9946	39786
200	9999	39749
201	10063	39754
202	10121	39736
203	10167	39671
204	10218	39625
205	10265	39568
206	10297	39450
207	10345	39392
208	10391	39327
209	10439	39271
210	10486	39212
211	10543	39189
212	10620	39240
213	10694	39279
214	10746	39238
215	10796	39185
216	10843	39128
217	10889	39063
218	10939	39011
219	10988	38959
220	11034	38894
221	11079	38827
222	11131	38787
223	11180	38733
224	11232	38688
225	11286	38652
226	11330	38583
227	11387	38556
228	11432	38490
229	11480	38434
230	11523	38363
231	11569	38298
232	11618	38245
233	11662	38178
234	11709	38117
235	11759	38069
236	11798	37984
237	11845	37926
238	11884	37842
239	11935	37794
240	11996	37781
241	12045	37730
242	12092	37670
243	12143	37624
244	12196	37585
245	12268	37603
246	12332	37597
247	12388	37565
248	12433	37500
249	12477	37433
250	12525	37378
251	12571	37314
252	12632	37298
253	12676	37231
254	12743	37231
255	12822	37264
256	12871	37212
257	12926	37176
258	12971	37110
259	13021	37060
260	13076	37023
261	13132	36992
262	13186	36951
263	13234	36897
264	13279	36831
265	13332	36789
266	13382	36740
267	13436	36698
268	13497	36680
269	13542	36615
270	13586	36548
271	13635	36494
272	13675	36419
273	13717	36347
274	13765	36291
275	13810	36227
276	13855	36165
277	13899	36098
278	13952	36056
279	14003	36008
280	14053	35959
281	14100	35901
282	14146	35842
283	14194	35787
284	14241	35729
285	14290	35677
286	14339	35622
287	14387	35569
288	14434	35512
289	14477	35444
290	14535	35415
291	14577	35345
292	14626	35292
293	14679	35251
294	14756	35264
295	14795	35189
296	14843	35135
297	14882	35059
298	14921	34983
299	14964	34917
300	15012	34861
301	15061	34810
302	15101	34737
303	15150	34687
304	15221	34684
305	15270	34633
306	15314	34568
307	15366	34525
308	15413	34468
309	15454	34398
310	15491	34320
311	15531	34248
312	15573	34182
313	15618	34121
314	15665	34066
315	15715	34017
316	15775	33990
317	15852	33997
318	15903	33949
319	15952	33898
320	15996	33837
321	16033	33759
322	16082	33708
323	16127	33647
324	16169	33581
325	16215	33524
326	16257	33460
327	16309	33415
328	16361	33368
329	16408	33313
330	16454	33257
331	16501	33202
332	16547	33144
333	16592	33085
334	16631	33015
335	16679	32962
336	16733	32921
337	16780	32866
338	16824	32804
339	16887	32781
340	16932	32722
341	16994	32697
342	17039	32638
343	17106	32620
344	17150	32561
345	17197	32505
346	17246	32454
347	17293	32399
348	17333	32332
349	17380	32277
350	17429	32227
351	17474	32168
352	17530	32130
353	17577	32077
354	17627	32027
355	17670	31965
356	17723	31921
357	17762	31853
358	17809	31799
359	17855	31742
360	17904	31691
361	17950	31636
362	17989	31568
363	18037	31515
364	18080	31454
365	18124	31395
366	18179	31356
367	18229	31307
368	18276	31252
369	18323	31199
370	18372	31149
371	18414	31086
372	18456	31024
373	18517	30995
374	18574	30958
375	18622	30905
376	18667	30847
377	18704	30778
378	18758	30735
379	18794	30664
380	18843	30615
381	18905	30584
382	18981	30578
383	19046	30553
384	19102	30514
385	19150	30462
386	19210	30428
387	19265	30387
388	19313	30336
389	19373	30302
390	19419	30247
391	19463	30188
392	19510	30134
393	19556	30078
394	19604	30026
395	19649	29970
396	19708	29935
397	19753	29878
398	19794	29816
399	19831	29747
400	19874	29687
401	19916	29627
402	19961	29571
403	20009	29519
404	20057	29467
405	20103	29412
406	20149	29358
407	20193	29300
408	20238	29244
409	20286	29192
410	20326	29129
411	20386	29095
412	20435	29044
413	20473	28979
414	20509	28911
415	20550	28850
416	20594	28792
417	20635	28731
418	20683	28680
419	20738	28638
420	20782	28581
421	20834	28537
422	20892	28499
423	20942	28449
424	20987	28395
425	21042	28352
426	21088	28299
427	21131	28241
428	21175	28184
429	21224	28135
430	21276	28089
431	21324	28038
432	21370	27984
433	21417	27931
434	21465	27880
435	21512	27827
436	21575	27795
437	21624	27746
438	21673	27696
439	21713	27634
440	21759	27581
441	21823	27551
442	21889	27522
443	21936	27470
444	21983	27417
445	22035	27371
446	22084	27322
447	22134	27272
448	22183	27223
449	22228	27168
450	22272	27111
451	22308	27046
452	22353	26992
453	22422	26965
454	22481	26928
455	22526	26873
456	22567	26814
457	22616	26764
458	22659	26708
459	22705	26654
460	22770	26623
461	22845	26603
462	22925	26589
463	22984	26550
464	23031	26499
465	23067	26433
466	23120	26388
467	23171	26340
468	23218	26287
469	23265	26235
470	23320	26192
471	23362	26133
472	23407	26079
473	23452	26024
474	23497	25971
475	23545	25919
476	23598	25874
477	23647	25824
478	23694	25771
479	23735	25713
480	23793	25673
481	23842	25623
482	23888	25570
483	23935	25518
484	23994	25478
485	24043	25428
486	24089	25375
487	24131	25318
488	24199	25288
489	24263	25253
490	24309	25200
491	24362	25154
492	24402	25095
493	24449	25043
494	24510	25005
495	24563	24960
496	24610	24907
497	24661	24859
498	24705	24804
499	24750	24750
500	24794	24695
501	24839	24641
502	24891	24594
503	24950	24554
504	24997	24502
505	25050	24456
506	25091	24398
507	25139	24347
508	25184	24294
509	25249	24259
510	25303	24214
511	25350	24162
512	25402	24114
513	25441	24055
514	25485	24000
515	25535	23951
516	25591	23908
517	25642	23860
518	25692	23811
519	25736	23756
520	25779	23701
521	25822	23646
522	25868	23593
523	25912	23539
524	25959	23487
525	26007	23436
526	26046	23377
527	26091	23324
528	26142	23276
529	26187	23222
530	26233	23170
531	26285	23123
532	26328	23067
533	26373	23015
534	26431	22973
535	26479	22922
536	26525	22869
537	26562	22810
538	26601	22752
539	26650	22702
540	26715	22666
541	26754	22608
542	26813	22566
543	26868	22522
544	26950	22499
545	26996	22447
546	27042	22395
547	27084	22339
548	27130	22287
549	27190	22246
550	27246	22202
551	27296	22153
552	27347	22105
553	27398	22057
554	27446	22006
555	27494	21955
556	27535	21899
557	27577	21844
558	27621	21790
559	27666	21738
560	27702	21678
561	27750	21627
562	27796	21575
563	27852	21531
564	27887	21470
565	27928	21414
566	27972	21361
567	28013	21306
568	28063	21257
569	28109	21205
570	28160	21157
571	28216	21112
572	28260	21059
573	28301	21003
574	28349	20953
575	28392	20900
576	28448	20855
577	28494	20804
578	28538	20751
579	28594	20706
580	28641	20655
581	28680	20598
